'Joel Robles', 1, 'Everton', 'Spain', 'GoalKeeper'
'Chris Renshaw', 0, 'Everton', 'England', 'GoalKeeper'
'Maarten Stekelenburg', 22, 'Everton', 'Netherlands', 'GoalKeeper'
'Mateusz Hewelt', 41, 'Everton', 'Poland', 'GoalKeeper'
'Leighton Baines', 3, 'Everton', 'England', 'Defender'
'Phil Jagielka', 6, 'Everton', 'England', 'Defender'
'Seamus Coleman', 23, 'Everton', 'Ireland', 'Defender'
'Ramiro Funes Mori', 25, 'Everton', 'Argentina', 'Defender'
'Ashley Williams', 5, 'Everton', 'Wales', 'Defender'
'Mason Holgate', 30, 'Everton', 'England', 'Defender'
'Jonjoe Kenny', 43, 'Everton', 'England', 'Defender'
'Kevin Mirallas', 11, 'Everton', 'Belgium', 'Midfielder'
'James McCarthy', 16, 'Everton', 'Ireland', 'Midfielder'
'Muhamed Besic', 21, 'Everton', 'Bosnia and Herzegovina', 'Midfielder'
'Gareth Barry', 18, 'Everton', 'England', 'Midfielder'
'Ross Barkley', 8, 'Everton', 'England', 'Midfielder'
'Idrissa Gueye', 17, 'Everton', 'Senegal', 'Midfielder'
'Aaron Lennon', 12, 'Everton', 'England', 'Midfielder'
'Tom Davies', 26, 'Everton', 'England', 'Midfielder'
'Morgan Schneiderlin', 2, 'Everton', 'France', 'Midfielder'
'Arouna Kone', 9, 'Everton', 'Cote D''Ivoire', 'Forward'
'Romelu Lukaku', 10, 'Everton', 'Belgium', 'Forward'
'Yannick Bolasie', 14, 'Everton', 'Congo', 'Forward'
'Enner Valencia', 19, 'Everton', 'Ecuador', 'Forward'
'Dominic Calvert-Lewin', 29, 'Everton', 'England', 'Forward'
'Ademola Lookman', 31, 'Everton', 'England', 'Forward'