'Kasper Schmeichel', 1, 'Leicester City', 'Denmark', 'GoalKeeper'
'Ben Hamer', 12, 'Leicester City', 'England', 'GoalKeeper'
'Ron-Robert Zieler', 21, 'Leicester City', 'Germany', 'GoalKeeper'
'Wes Morgan', 5, 'Leicester City', 'Jamaica', 'Defender'
'Marcin Wasilewski', 27, 'Leicester City', 'Poland', 'Defender'
'Danny Simpson', 17, 'Leicester City', 'England', 'Defender'
'Christian Fuchs', 28, 'Leicester City', 'Austria', 'Defender'
'Ben Chilwell', 3, 'Leicester City', 'England', 'Defender'
'Robert Huth', 6, 'Leicester City', 'Germany', 'Defender'
'Yohan Benalouane', 29, 'Leicester City', 'Tunisia', 'Defender'
'Daniel Drinkwater', 4, 'Leicester City', 'England', 'Midfielder'
'Andy King', 10, 'Leicester City', 'Wales', 'Midfielder'
'Marc Albrighton', 11, 'Leicester City', 'England', 'Midfielder'
'Daniel Amartey', 13, 'Leicester City', 'Ghana', 'Midfielder'
'Riyad Mahrez', 26, 'Leicester City', 'Algeria', 'Midfielder'
'Demarai Gray', 22, 'Leicester City', 'England', 'Midfielder'
'Nampalys Mendy', 24, 'Leicester City', 'France', 'Midfielder'
'Bartosz Kapustka', 14, 'Leicester City', 'Poland', 'Midfielder'
'Wilfred Ndidi', 25, 'Leicester City', 'Nigeria', 'Midfielder'
'Jamie Vardy', 9, 'Leicester City', 'England', 'Forward'
'Shinji Okazaki', 20, 'Leicester City', 'Japan', 'Forward'
'Leonardo Ulloa', 23, 'Leicester City', 'Argentina', 'Forward'
'Ahmed Musa', 7, 'Leicester City', 'Nigeria', 'Forward'
'Islam Slimani', 19, 'Leicester City', 'Algeria', 'Forward'