'Simon Mignolet', 22, 'Liverpool', 'Belgium', 'GoalKeeper'
'Loris Karius', 1, 'Liverpool', 'Germany', 'GoalKeeper'
'Alexander Manninger', 13, 'Liverpool', 'Austria', 'GoalKeeper'
'Nathaniel Clyne', 2, 'Liverpool', 'England', 'Defender'
'Dejan Lovren', 6, 'Liverpool', 'Croatia', 'Defender'
'Joseph Gomez', 12, 'Liverpool', 'England', 'Defender'
'Alberto Moreno', 18, 'Liverpool', 'Spain', 'Defender'
'Joel Matip', 32, 'Liverpool', 'Cameroon', 'Defender'
'Ragnar Klavan', 17, 'Liverpool', 'Estonia', 'Defender'
'Connor Randall', 56, 'Liverpool', 'England', 'Defender'
'Tren Alexander-Arnold', 66, 'Liverpool', 'England', 'Defender'
'Jordan Williams', 49, 'Liverpool', 'Wales', 'Defender'
'James Milner', 7, 'Liverpool', 'England', 'Defender'
'Philippe Coutinho', 10, 'Liverpool', 'Brazil', 'Midfielder'
'Jordan Henderson', 14, 'Liverpool', 'England', 'Midfielder'
'Adam Lallana', 20, 'Liverpool', 'England', 'Defender'
'Lucas Leiva', 21, 'Liverpool', 'Brazil', 'Midfielder'
'Emre Can', 23, 'Liverpool', 'Germany', 'Midfielder'
'Sadio Mane', 19, 'Liverpool', 'Senegal', 'Midfielder' 
'Georginio Wijnaldum', 5, 'Liverpool', 'Netherlands', 'Midfielder'
'Kevin Stewart', 35, 'Liverpool', 'England', 'Midfielder'
'Marko Grujic', 16, 'Liverpool', 'Serbia', 'Midfielder'
'Sheyi Ojo', 54, 'Liverpool', 'England', 'Midfielder'
'Ovie Ejaria', 53, 'Liverpool', 'England', 'Midfielder'
'Ben Woodburn', 58, 'Liverpool', 'Wales', 'Midfielder'
'Harry Wilson', 56, 'Liverpool', 'Wales', 'Midfielder'
'Paulinho', 61, 'Liverpool', 'Portugal', 'Midfielder'
'Roberto Firmino', 11, 'Liverpool', 'Brazil', 'Forward'
'Daniel Sturridge', 15, 'Liverpool', 'England', 'Forward'
'Divock Origi', 27, 'Liverpool', 'Belgium', 'Forward'
'Danny Ings', 28, 'Liverpool', 'England', 'Forward'