'David de Gea', 1, 'Manchester United', 'Spain', 'GoalKeeper'
'Sergio Romero', 20, 'Manchester United', 'Argentina', 'GoalKeeper'
'Joel Pereira', 40, 'Manchester United', 'Portugal', 'GoalKeeper'
'Dean Henderson', 34, 'Manchester United', 'England', 'GoalKeeper'
'Phil Jones', 4, 'Manchester United', 'England', 'Defender'
'Marcos Rojo', 5, 'Manchester United', 'Argentina', 'Defender'
'Chris Smalling', 12, 'Manchester United', 'England', 'Defender'
'Daley Blind', 17, 'Manchester United', 'Netherlands', 'Defender'
'Luke Shaw', 23, 'Manchester United', 'England', 'Defender'
'Antonio Valencia', 25, 'Manchester United', 'Ecuador', 'Defender'
'Matteo Darmian', 36, 'Manchester United', 'Italy', 'Defender'
'Timothy Fosu-Mensah', 24, 'Manchester United', 'Netherlands', 'Defender'
'Eric Bailly', 3, 'Manchester United', 'Cote DIvoire', 'Defender'
'Axel Tuanzebe', 38, 'Manchester United', 'England', 'Defender'
'Juan Mata', 8 , 'Manchester United', 'Spain', 'Midfielder'
'Michael Carrick', 16, 'Manchester United', 'England', 'Midfielder'
'Ashley Young',18 , 'Manchester United', 'England', 'Midfielder'
'Ander Herrera', 21, 'Manchester United', 'Spain', 'Midfielder'
'Marouane Fellaini', 27, 'Manchester United', 'Belgium', 'Midfielder'
'Jesse Lingard', 14, 'Manchester United', 'England', 'Midfielder'
'Henrikh Mkhitaryan', 22, 'Manchester United', 'Armenia', 'Midfielder'
'Paul Pogba', 6, 'Manchester United', 'France', 'Midfielder'
'Anthony Martial', 11, 'Manchester United', 'France', 'Forward'
'Wayne Rooney', 10, 'Manchester United', 'England', 'Forward'
'Marcus Rashford', 19, 'Manchester United', 'England', 'Forward'
'Zlatan Ibrahimovic', 9, 'Manchester United', 'Sweden', 'Forward'