'Eldin Jakupovic', 16, 'Hull City', 'Switzerland', 'GoalKeeper'
'William Mannion', 35, 'Hull City', 'England', 'GoalKeeper'
'David Marshall', 23, 'Hull City', 'Scotland', 'GoalKeeper'
'Curtis Davies', 6, 'Hull City', 'England', 'Defender'
'Harry Maguire', 5, 'Hull City', 'England', 'Defender'
'Michael Dawson', 21, 'Hull City', 'England', 'Defender'
'Andrew Robertson', 3, 'Hull City', 'Scotland', 'Defender'
'Brian Lenihan', 31, 'Hull City', 'Ireland', 'Defender'
'Josh Tymon', 28, 'Hull City', 'England', 'Defender'
'Ahmed Elmohamady', 27, 'Hull City', 'Egypt', 'Defender'
'Omar Elabdellaoui', 14, 'Hull City', 'Norway', 'Defender'
'Andrea Ranocchia', 13, 'Hull City', 'Italy', 'Defender'
'Moses Odubajo', 2, 'Hull City', 'England', 'Midfielder'
'David Meyler', 7, 'Hull City', 'Ireland', 'Midfielder'
'Tom Huddlestone', 8, 'Hull City', 'England', 'Midfielder'
'Sam Clucas', 11, 'Hull City', 'England', 'Midfielder'
'Shaum Maloney', 15, 'Hull City', 'Scotland', 'Midfielder'
'Greg Olley', 36, 'Hull City', 'England', 'Midfielder'
'Ryan Mason', 25, 'Hull City', 'England', 'Midfielder'
'Evandro', 40, 'Hull City', 'Brazil', 'Midfielder'
'Lazar Markovic', 0, 'Hull City', 'Serbia', 'Midfielder'
'Alfred N''Diaye', 10, 'Hull City', 'Senegal', 'Midfielder'
'Kamil Grosicki', 17, 'Hull City', 'Poland', 'Midfielder'
'Abel Hernandez', 9, 'Hull City', 'Uruguay', 'Midfielder'
'Adama Diomande', 20, 'Hull City', 'Norway', 'Forward'
'Greg Luer', 32, 'Hull City', 'England', 'Forward'
'Ben Hinchcliffe', 39, 'Hull City', 'England', 'Forward'
'Will Keane', 19, 'Hull City', 'England', 'Forward'
'Dieumerci Mbokani', 18, 'Hull City', 'Congo', 'Forward'
'Jarrod Bowen', 29, 'Hull City', 'England', 'Forward'
'Oumar Niasee', 24, 'Hull City', 'Senegal', 'Forward'

--Leicester City players
'Kasper Schmeichel', 1, 'Leicester City', 'Denmark', 'GoalKeeper'
'Ben Hamer', 12, 'Leicester City', 'England', 'GoalKeeper'
'Ron-Robert Zieler', 21, 'Leicester City', 'Germany', 'GoalKeeper'
'Wes Morgan', 5, 'Leicester City', 'Jamaica', 'Defender'
'Marcin Wasilewski', 27, 'Leicester City', 'Poland', 'Defender'
'Danny Simpson', 17, 'Leicester City', 'England', 'Defender'
'Christian Fuchs', 28, 'Leicester City', 'Austria', 'Defender'
'Ben Chilwell', 3, 'Leicester City', 'England', 'Defender'
'Robert Huth', 6, 'Leicester City', 'Germany', 'Defender'
'Yohan Benalouane', 29, 'Leicester City', 'Tunisia', 'Defender'
'Daniel Drinkwater', 4, 'Leicester City', 'England', 'Midfielder'
'Andy King', 10, 'Leicester City', 'Wales', 'Midfielder'
'Marc Albrighton', 11, 'Leicester City', 'England', 'Midfielder'
'Daniel Amartey', 13, 'Leicester City', 'Ghana', 'Midfielder'
'Riyad Mahrez', 26, 'Leicester City', 'Algeria', 'Midfielder'
'Demarai Gray', 22, 'Leicester City', 'England', 'Midfielder'
'Nampalys Mendy', 24, 'Leicester City', 'France', 'Midfielder'
'Bartosz Kapustka', 14, 'Leicester City', 'Poland', 'Midfielder'
'Wilfred Ndidi', 25, 'Leicester City', 'Nigeria', 'Midfielder'
'Jamie Vardy', 9, 'Leicester City', 'England', 'Forward'
'Shinji Okazaki', 20, 'Leicester City', 'Japan', 'Forward'
'Leonardo Ulloa', 23, 'Leicester City', 'Argentina', 'Forward'
'Ahmed Musa', 7, 'Leicester City', 'Nigeria', 'Forward'
'Islam Slimani', 19, 'Leicester City', 'Algeria', 'Forward'

--Liverpool players
'Simon Mignolet', 22, 'Liverpool', 'Belgium', 'GoalKeeper'
'Loris Karius', 1, 'Liverpool', 'Germany', 'GoalKeeper'
'Alexander Manninger', 13, 'Liverpool', 'Austria', 'GoalKeeper'
'Nathaniel Clyne', 2, 'Liverpool', 'England', 'Defender'
'Dejan Lovren', 6, 'Liverpool', 'Croatia', 'Defender'
'Joseph Gomez', 12, 'Liverpool', 'England', 'Defender'
'Alberto Moreno', 18, 'Liverpool', 'Spain', 'Defender'
'Joel Matip', 32, 'Liverpool', 'Cameroon', 'Defender'
'Ragnar Klavan', 17, 'Liverpool', 'Estonia', 'Defender'
'Connor Randall', 56, 'Liverpool', 'England', 'Defender'
'Tren Alexander-Arnold', 66, 'Liverpool', 'England', 'Defender'
'Jordan Williams', 49, 'Liverpool', 'Wales', 'Defender'
'James Milner', 7, 'Liverpool', 'England', 'Defender'
'Philippe Coutinho', 10, 'Liverpool', 'Brazil', 'Midfielder'
'Jordan Henderson', 14, 'Liverpool', 'England', 'Midfielder'
'Adam Lallana', 20, 'Liverpool', 'England', 'Defender'
'Lucas Leiva', 21, 'Liverpool', 'Brazil', 'Midfielder'
'Emre Can', 23, 'Liverpool', 'Germany', 'Midfielder'
'Sadio Mane', 19, 'Liverpool', 'Senegal', 'Midfielder' 
'Georginio Wijnaldum', 5, 'Liverpool', 'Netherlands', 'Midfielder'
'Kevin Stewart', 35, 'Liverpool', 'England', 'Midfielder'
'Marko Grujic', 16, 'Liverpool', 'Serbia', 'Midfielder'
'Sheyi Ojo', 54, 'Liverpool', 'England', 'Midfielder'
'Ovie Ejaria', 53, 'Liverpool', 'England', 'Midfielder'
'Ben Woodburn', 58, 'Liverpool', 'Wales', 'Midfielder'
'Harry Wilson', 56, 'Liverpool', 'Wales', 'Midfielder'
'Paulinho', 61, 'Liverpool', 'Portugal', 'Midfielder'
'Roberto Firmino', 11, 'Liverpool', 'Brazil', 'Forward'
'Daniel Sturridge', 15, 'Liverpool', 'England', 'Forward'
'Divock Origi', 27, 'Liverpool', 'Belgium', 'Forward'
'Danny Ings', 28, 'Liverpool', 'England', 'Forward'

--Manchester City players
'Wily Caballero', 13, 'Manchester City', 'Argentina', 'GoalKeeper'
'Angus Gunn', 54, 'Manchester City', 'England', 'GoalKeeper'
'Claudio Bravo', 1, 'Manchester City', 'Chile', 'GoalKeeper'
'Bacary Sagna', 3, 'Manchester City', 'France', 'Defender'
'Vincent Kompany', 4, 'Manchester City', 'Belgium', 'Defender'
'Pablo Zabaleta', 5, 'Manchester City', 'Argentina', 'Defender'
'Aleksandar Kolarov', 11, 'Manchester City', 'Serbia', 'Defender'
'Gael Clichy', 22, 'Manchester City', 'France', 'Defender'
'Nicolas Otamendi', 30, 'Manchester City', 'Argentina', 'Defender'
'John Stones', 24, 'Manchester City', 'England', 'Defender'
'Tosin Adarabioyo', 53, 'Manchester City', 'England', 'Defender'
'Fernando', 6, 'Manchester City', 'Brazil', 'Midfielder'
'Jesus Navas', 15, 'Manchester City', 'Spain', 'Midfielder'
'Kevin De Bruyne', 17, 'Manchester City', 'Belgium', 'Midfielder'
'Fabian Delph', 18, 'Manchester City', 'England', 'Midfielder'
'David Silva', 21, 'Manchester City', 'Spain', 'Midfielder'
'Fernandinho', 25, 'Manchester City', 'Brazil', 'Midfielder'
'Yaya Toure', 42, 'Manchester City', 'Cote D''Ivoire', 'Midfielder'
'Ilkay Gundogan', 8, 'Manchester City', 'Germany', 'Midfielder'
'Leroy Sane', 19, 'Manchester City', 'Germany', 'Midfielder'
'Aleix Garcia', 75, 'Manchester City', 'Spain', 'Midfielder'
'Brahim Diaz', 55, 'Manchester City', 'Spain', 'Midfielder'
'Raheem Sterling', 7, 'Manchester City', 'England', 'Forward'
'Sergio Aguero', 10, 'Manchester City', 'Argentina', 'Forward'
'Kelechi Iheanacho', 72, 'Manchester City', 'Nigeria', 'Forward'
'Nolito', 9, 'Manchester City', 'Spain', 'Forward'
'Phil Foden', 80, 'Manchester City', 'England', 'Forward'
'Gabriel Jesus', 33, 'Manchester City', 'Brazil', 'Forward'
  
